symbol,call,signal_date,close,rsi10,sma200,level_025,level_075
ANGELONE,LONG,2026-08-14,287.3,28.48,283.25,290.82,288.47
AVONMORE,SHORT,2026-08-14,12.35,78.5,13.69,12.38,12.36
BALAJITELE,SHORT,2026-08-14,92.38,71.49,98.08,98.47,94.41
BATAINDIA,SHORT,2026-08-14,755.7,70.86,802.31,738.26,749.89
BLS,SHORT,2026-08-14,278.12,80.46,280.17,271.52,275.92
BOROSCI,LONG,2026-08-14,133.92,27.27,127.87,135.06,134.3
ESSENTIA,SHORT,2026-08-14,1.38,73.01,1.45,1.48,1.41
FINKURVE,SHORT,2026-08-14,72.74,79.52,79.64,65.96,70.48
GANGAFORGE,SHORT,2026-08-14,2.62,84.35,2.8,2.62,2.62
GICL,SHORT,2026-08-14,23.05,85.02,37.09,22.86,22.98
GMRAIRPORT,LONG,2026-08-14,101.51,26.04,100.34,102.68,101.9
GOLDTECH,LONG,2026-08-14,48.6,26.35,47.65,50.38,49.19
GOODLUCK,LONG,2026-08-14,1324.7,26.57,1232.77,1287.42,1312.27
GPPL,SHORT,2026-08-14,158.68,72.24,164.43,154.98,157.45
HMAAGRO,SHORT,2026-08-14,24.24,75.55,25.67,23.31,23.93
ICIL,LONG,2026-08-14,379.9,29.42,309.08,388.6,382.8
JAYBARMARU,LONG,2026-08-14,127.86,28.5,110.98,131.89,129.2
JHS,SHORT,2026-08-14,8.95,76.99,9.38,8.54,8.81
KAMATHOTEL,SHORT,2026-08-14,195.87,75.95,198.4,190.57,194.1
KRISHNADEF,LONG,2026-08-14,1077.7,26.92,1019.57,1076.42,1077.27
LAGNAM,LONG,2026-08-14,78.79,28.31,75.91,78.96,78.85
LUXIND,LONG,2026-08-14,1188.1,29.54,1174.64,1204.0,1193.4
MANGLMCEM,LONG,2026-08-14,896.35,25.15,834.84,899.69,897.46
MGEL,LONG,2026-08-14,14.43,29.19,13.86,14.59,14.49
NIVABUPA,LONG,2026-08-14,82.72,29.11,78.86,83.82,83.09
OSWALSEEDS,SHORT,2026-08-14,12.15,72.85,12.84,11.88,12.06
PGHL,LONG,2026-08-14,5932.0,24.99,5667.67,5923.0,5929.0
PILANIINVS,SHORT,2026-08-14,4547.0,70.33,4715.56,4548.88,4547.62
RAYMONDREL,LONG,2026-08-14,577.8,29.92,526.32,572.63,576.07
SBC,LONG,2026-08-14,38.6,16.24,33.14,39.21,38.8
SHREERAMA,SHORT,2026-08-14,43.8,70.9,50.39,42.44,43.35
SHYAMTEL,LONG,2026-08-14,14.12,27.42,14.08,14.48,14.24
SSDL,SHORT,2026-08-14,65.14,87.06,66.27,68.11,66.13
STYRENIX,LONG,2026-08-14,2183.7,26.78,2132.49,2190.67,2186.02
SURAJEST,SHORT,2026-08-14,214.32,72.99,227.96,215.56,214.73
SURYODAY,LONG,2026-08-14,152.06,27.32,149.43,155.01,153.04
TEXINFRA,LONG,2026-08-14,107.81,25.47,100.96,109.45,108.36
TPHQ,SHORT,2026-08-14,0.49,77.39,0.55,0.44,0.47
